name;stars;elite;skill_level;s1_mastery;s2_mastery;s3_mastery
Adnachiel;3;1;7;0;0;0
Ansel;3;1;7;0;0;0
Beagle;3;1;7;0;0;0
Cardigan;3;1;7;0;0;0
Catapult;3;1;7;0;0;0
Fang;3;1;7;0;0;0
Hibiscus;3;1;7;0;0;0
Kroos;3;1;7;0;0;0
Lava;3;1;7;0;0;0
Melantha;3;1;7;0;0;0
Midnight;3;1;7;0;0;0
Orchid;3;1;7;0;0;0
Plume;3;1;7;0;0;0
Popukar;3;1;7;0;0;0
Spot;3;1;7;0;0;0
Steward;3;1;7;0;0;0
Vanilla;3;1;7;0;0;0
Aciddrop;4;1;7;0;0;0
Ambriel;4;1;7;0;0;0
Arene;4;1;7;0;0;0
Beanstalk;4;1;7;0;0;0
Beehunter;4;1;7;0;0;0
Bubble;4;1;7;0;0;0
Click;4;1;7;0;0;0
Conviction;4;1;4;0;0;0
Courier;4;1;7;0;0;0
Cuora;4;1;7;0;0;0
Cutter;4;1;7;0;0;0
Deepcolor;4;1;7;0;0;0
Dobermann;4;1;5;0;0;0
Dur-nar;4;1;7;0;0;0
Earthspirit;4;1;7;0;0;0
Estelle;4;1;7;0;0;0
Ethan;4;1;7;0;0;0
Frostleaf;4;1;7;0;0;0
Gavial;4;1;7;0;0;0
Gitano;4;1;7;0;0;0
Gravel;4;2;7;0;1;0
Greyy;4;1;7;0;0;0
Gum;4;1;7;0;0;0
Haze;4;1;7;0;0;0
Indigo;4;0;0;0;0;0
Jackie;4;1;7;0;0;0
Jaye;4;1;7;0;0;0
Jessica;4;2;7;0;0;0
Matoimaru;4;1;7;0;0;0
Matterhorn;4;1;5;0;0;0
May;4;1;7;0;0;0
Meteor;4;1;7;0;0;0
Mousse;4;1;7;0;0;0
Myrrh;4;1;7;0;0;0
Myrtle;4;2;7;3;0;0
Perfumer;4;2;7;0;0;0
Pinecone;4;1;7;0;0;0
Podenco;4;1;7;0;0;0
Purestream;4;1;7;0;0;0
Roberta;4;0;0;0;0;0
Rope;4;1;7;0;0;0
Scavenger;4;1;7;0;0;0
Shaw;4;1;7;0;0;0
ShiraYuki;4;2;7;0;0;0
Sussurro;4;1;7;0;0;0
Utage;4;2;7;0;3;0
Vermeil;4;1;5;0;0;0
Vigna;4;2;7;0;0;0
Absinthe;5;1;7;0;0;0
Akafuyu;5;1;7;0;0;0
Amiya;5;2;7;2;0;0
Andreana;5;1;7;0;0;0
Aosta;5;1;4;0;0;0
April;5;1;7;0;0;0
Asbestos;5;1;3;0;0;0
Astesia;5;1;7;0;0;0
Ayerscarpe;5;1;7;0;0;0
Beeswax;5;1;3;0;0;0
Bena;5;0;0;0;0;0
Bibeak;5;1;7;0;0;0
Bison;5;1;7;0;0;0
Blitz;5;1;7;0;0;0
Blue Poison;5;1;7;0;0;0
Breeze;5;1;7;0;0;0
Broca;5;1;7;0;0;0
Ceylon;5;1;3;0;0;0
Chiave;5;1;4;0;0;0
Cliffheart;5;1;7;0;0;0
Croissant;5;1;3;0;0;0
Elysium;5;1;7;1;0;0
Executor;5;1;5;0;0;0
FEater;5;1;3;0;0;0
Firewatch;5;1;7;0;0;0
Flamebringer;5;0;0;0;0;0
Flint;5;1;7;0;0;0
Folinic;5;1;3;0;0;0
Franka;5;1;4;0;0;0
Frost;5;1;7;0;0;0
Glaucus;5;1;3;0;0;0
Grani;5;1;7;0;0;0
GreyThroat;5;1;7;0;0;0
Heavyrain;5;1;7;0;0;0
Hung;5;1;3;0;0;0
Indra;5;1;6;0;0;0
Iris;5;1;7;0;0;0
Istina;5;1;3;0;0;0
Kafka;5;1;7;0;0;0
Kirara;5;0;0;0;0;0
La Pluma;5;0;0;0;0;0
Lappland;5;2;7;0;3;0
Lava the Purgatory;5;1;7;0;0;0
Leizi;5;2;7;0;1;0
Leonhardt;5;1;3;0;0;0
Liskarm;5;1;3;0;0;0
Manticore;5;1;7;0;0;0
Mayer;5;1;3;0;0;0
Meteorite;5;1;7;0;0;0
Mint;5;1;3;0;0;0
Mr.Nothing;5;1;7;0;0;0
Mulberry;5;0;0;0;0;0
Nearl;5;1;7;0;0;0
Nightmare;5;1;3;0;0;0
Platinum;5;1;7;0;0;0
Pramanix;5;1;7;0;0;0
Projekt Red;5;1;7;0;0;0
Provence;5;1;7;0;0;0
Ptilopsis;5;2;7;0;0;0
Reed;5;1;7;0;0;0
Robin;5;1;7;0;0;0
Savage;5;1;7;0;0;0
Scene;5;1;3;0;0;0
Sesa;5;1;3;0;0;0
Shamare;5;1;7;0;0;0
Sideroca;5;1;7;0;0;0
Silence;5;2;7;0;0;0
Skyfire;5;1;3;0;0;0
Snowsant;5;0;0;0;0;0
Sora;5;1;4;0;0;0
Specter;5;1;7;0;0;0
Swire;5;1;7;0;0;0
Tachanka;5;1;7;0;0;0
Tequila;5;0;0;0;0;0
