Resource;Quantity
Aketon;452
Bipolar Nanoflake;598
Caster Chip;8
Caster Chip Pack;25
Caster Dualchip;39
Coagulating Gel;200
Compound Cutting Fluid;13
Crystalline Circuit;112
Crystalline Component;23
Crystalline Electroassembly;140
Cutting Stock Solution;30
D32 Steel;514
Damaged Device;18
Defender Chip;4
Defender Chip Pack;25
Defender Dualchip;34
Device;72
Diketon;24
Ester;21
Grindstone;434
Grindstone Pentahydrate;684
Guard Chip;21
Guard Chip Pack;50
Guard Dualchip;63
Incandescent Alloy;160
Incandescent Alloy Block;425
Integrated Device;337
Keton Colloid;614
LMD;15780000
Loxic Kohl;498
Manganese Ore;421
Manganese Trihydrate;608
Medic Chip;9
Medic Chip Pack;20
Medic Dualchip;25
Optimized Device;442
Orirock;34
Orirock Cluster;542
Orirock Concentration;701
Orirock Cube;153
Oriron;81
Oriron Block;583
Oriron Cluster;325
Oriron Shard;19
Polyester;86
Polyester Lump;336
Polyester Pack;201
Polyketon;105
Polymerization Preparation;508
Polymerized Gel;517
RMA70-12;358
RMA70-24;612
Refined Solvent;32
Semi-natural Solvent;34
Skill Summary - 1;170
Skill Summary - 2;927
Skill Summary - 3;9729
Sniper Chip;10
Sniper Chip Pack;30
Sniper Dualchip;48
Specialist Chip;22
Specialist Chip Pack;20
Specialist Dualchip;48
Sugar;94
Sugar Lump;340
Sugar Pack;231
Sugar Substitute;34
Supporter Chip;8
Supporter Chip Pack;20
Supporter Dualchip;32
Vanguard Chip;5
Vanguard Chip Pack;15
Vanguard Dualchip;23
White Horse Kohl;697
