Resource;Quantity
Aketon;643
Bipolar Nanoflake;634
Caster Chip;93
Caster Chip Pack;25
Caster Dualchip;61
Coagulating Gel;271
Compound Cutting Fluid;13
Crystalline Circuit;112
Crystalline Component;40
Crystalline Electroassembly;152
Cutting Stock Solution;30
D32 Steel;554
Damaged Device;136
Defender Chip;85
Defender Chip Pack;25
Defender Dualchip;54
Device;317
Diketon;167
Ester;211
Grindstone;550
Grindstone Pentahydrate;706
Guard Chip;150
Guard Chip Pack;55
Guard Dualchip;90
Incandescent Alloy;197
Incandescent Alloy Block;448
Integrated Device;444
Keton Colloid;661
LMD;25470000
Loxic Kohl;696
Manganese Ore;533
Manganese Trihydrate;634
Medic Chip;66
Medic Chip Pack;25
Medic Dualchip;39
Optimized Device;471
Orirock;277
Orirock Cluster;776
Orirock Concentration;746
Orirock Cube;693
Oriron;440
Oriron Block;612
Oriron Cluster;479
Oriron Shard;170
Polyester;485
Polyester Lump;355
Polyester Pack;287
Polyketon;421
Polymerization Preparation;552
Polymerized Gel;537
RMA70-12;457
RMA70-24;632
Refined Solvent;32
Semi-natural Solvent;34
Skill Summary - 1;1390
Skill Summary - 2;3135
Skill Summary - 3;10638
Sniper Chip;112
Sniper Chip Pack;40
Sniper Dualchip;68
Specialist Chip;88
Specialist Chip Pack;25
Specialist Dualchip;56
Sugar;481
Sugar Lump;350
Sugar Pack;306
Sugar Substitute;207
Supporter Chip;64
Supporter Chip Pack;20
Supporter Dualchip;40
Vanguard Chip;59
Vanguard Chip Pack;25
Vanguard Dualchip;34
White Horse Kohl;725
