operator;material_percentage;stars;elite;skill_level;s1_mastery;s2_mastery;s3_mastery;skill_upgrade_resources;elite1_resources;elite2_resources;elite_resources;mastery_resources;total_resources;spent_resources;needed_resources;needed_material_quantity;total_material_quantity
Weedy;35.14;6;2;7;0;0;0;"10x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
7x Orirock Cube
4x Sugar
4x Polyketon
7x Loxic Kohl
8x Skill Summary - 3
5x Orirock Cluster
4x Integrated Device";"30000x LMD
5x Specialist Chip
6x Device
4x Sugar";"180000x LMD
4x Specialist Dualchip
4x D32 Steel
6x Manganese Trihydrate";"210000x LMD
5x Specialist Chip
6x Device
4x Sugar
4x Specialist Dualchip
4x D32 Steel
6x Manganese Trihydrate";"105x Skill Summary - 3
4x Manganese Trihydrate
4x Integrated Device
4x Orirock Concentration
13x Grindstone Pentahydrate
12x Bipolar Nanoflake
5x Incandescent Alloy Block
7x Loxic Kohl
3x Optimized Device
6x Oriron Block
13x Polymerized Gel
4x RMA70-24
5x Manganese Ore
4x White Horse Kohl
8x Keton Colloid
6x Polymerization Preparation";"10x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
7x Orirock Cube
8x Sugar
4x Polyketon
14x Loxic Kohl
113x Skill Summary - 3
5x Orirock Cluster
8x Integrated Device
210000x LMD
5x Specialist Chip
6x Device
4x Specialist Dualchip
4x D32 Steel
10x Manganese Trihydrate
4x Orirock Concentration
13x Grindstone Pentahydrate
12x Bipolar Nanoflake
5x Incandescent Alloy Block
3x Optimized Device
6x Oriron Block
13x Polymerized Gel
4x RMA70-24
5x Manganese Ore
4x White Horse Kohl
8x Keton Colloid
6x Polymerization Preparation";"10x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
7x Orirock Cube
8x Sugar
4x Polyketon
7x Loxic Kohl
8x Skill Summary - 3
5x Orirock Cluster
4x Integrated Device
210000x LMD
5x Specialist Chip
6x Device
4x Specialist Dualchip
4x D32 Steel
6x Manganese Trihydrate";"7x Loxic Kohl
105x Skill Summary - 3
4x Integrated Device
4x Manganese Trihydrate
4x Orirock Concentration
13x Grindstone Pentahydrate
12x Bipolar Nanoflake
5x Incandescent Alloy Block
3x Optimized Device
6x Oriron Block
13x Polymerized Gel
4x RMA70-24
5x Manganese Ore
4x White Horse Kohl
8x Keton Colloid
6x Polymerization Preparation";203;313
W;35.24;6;2;7;0;0;0;"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
5x Orirock Cube
4x Integrated Device
8x Skill Summary - 3
3x Manganese Ore
4x RMA70-12";"30000x LMD
5x Sniper Chip
12x Orirock Cube
5x Sugar";"180000x LMD
4x Sniper Dualchip
4x Bipolar Nanoflake
7x Keton Colloid";"210000x LMD
5x Sniper Chip
12x Orirock Cube
5x Sugar
4x Sniper Dualchip
4x Bipolar Nanoflake
7x Keton Colloid";"105x Skill Summary - 3
16x Incandescent Alloy Block
5x RMA70-12
4x RMA70-24
7x Manganese Trihydrate
6x D32 Steel
16x Polymerized Gel
3x Optimized Device
4x Oriron Cluster
10x Orirock Concentration
12x Bipolar Nanoflake
4x White Horse Kohl
8x Aketon
4x Oriron Block";"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
17x Orirock Cube
4x Integrated Device
113x Skill Summary - 3
3x Manganese Ore
9x RMA70-12
210000x LMD
5x Sniper Chip
5x Sugar
4x Sniper Dualchip
16x Bipolar Nanoflake
7x Keton Colloid
16x Incandescent Alloy Block
4x RMA70-24
7x Manganese Trihydrate
6x D32 Steel
16x Polymerized Gel
3x Optimized Device
4x Oriron Cluster
10x Orirock Concentration
4x White Horse Kohl
8x Aketon
4x Oriron Block";"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
17x Orirock Cube
4x Integrated Device
8x Skill Summary - 3
3x Manganese Ore
4x RMA70-12
210000x LMD
5x Sniper Chip
5x Sugar
4x Sniper Dualchip
4x Bipolar Nanoflake
7x Keton Colloid";"105x Skill Summary - 3
5x RMA70-12
12x Bipolar Nanoflake
16x Incandescent Alloy Block
4x RMA70-24
7x Manganese Trihydrate
6x D32 Steel
16x Polymerized Gel
3x Optimized Device
4x Oriron Cluster
10x Orirock Concentration
4x White Horse Kohl
8x Aketon
4x Oriron Block";204;315
Thorns;48.55;6;2;7;0;0;2;"10x Skill Summary - 1
5x Oriron Shard
4x Sugar Substitute
24x Skill Summary - 2
4x Polyketon
3x Device
3x Polyester
8x Orirock Cluster
8x Skill Summary - 3
3x Aketon
6x Loxic Kohl";"30000x LMD
5x Guard Chip
8x Oriron
3x Polyketon";"180000x LMD
4x Guard Dualchip
4x Polymerization Preparation
6x Oriron Block";"210000x LMD
5x Guard Chip
8x Oriron
3x Polyketon
4x Guard Dualchip
4x Polymerization Preparation
6x Oriron Block";"105x Skill Summary - 3
17x Keton Colloid
4x Coagulating Gel
4x Incandescent Alloy Block
13x RMA70-24
6x Polymerization Preparation
6x Manganese Trihydrate
8x White Horse Kohl
8x Aketon
3x Optimized Device
6x Oriron Block
12x Bipolar Nanoflake
4x Grindstone Pentahydrate
7x Loxic Kohl";"10x Skill Summary - 1
5x Oriron Shard
4x Sugar Substitute
24x Skill Summary - 2
7x Polyketon
3x Device
3x Polyester
8x Orirock Cluster
113x Skill Summary - 3
11x Aketon
13x Loxic Kohl
210000x LMD
5x Guard Chip
8x Oriron
4x Guard Dualchip
10x Polymerization Preparation
12x Oriron Block
17x Keton Colloid
4x Coagulating Gel
4x Incandescent Alloy Block
13x RMA70-24
6x Manganese Trihydrate
8x White Horse Kohl
3x Optimized Device
12x Bipolar Nanoflake
4x Grindstone Pentahydrate";"10x Skill Summary - 1
5x Oriron Shard
4x Sugar Substitute
24x Skill Summary - 2
7x Polyketon
3x Device
3x Polyester
8x Orirock Cluster
28x Skill Summary - 3
3x Aketon
13x Loxic Kohl
210000x LMD
5x Guard Chip
8x Oriron
4x Guard Dualchip
4x Polymerization Preparation
6x Oriron Block
4x Grindstone Pentahydrate
4x White Horse Kohl
8x Keton Colloid";"85x Skill Summary - 3
8x Aketon
6x Polymerization Preparation
6x Oriron Block
9x Keton Colloid
4x Coagulating Gel
4x Incandescent Alloy Block
13x RMA70-24
6x Manganese Trihydrate
4x White Horse Kohl
3x Optimized Device
12x Bipolar Nanoflake";160;311
Suzuran;35.37;6;2;7;0;0;0;"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
4x Oriron
4x Polyketon
5x Orirock Cube
4x RMA70-12
8x Skill Summary - 3
3x Oriron Cluster
5x Grindstone";"30000x LMD
5x Supporter Chip
8x Polyester
4x Oriron";"180000x LMD
4x Supporter Dualchip
4x D32 Steel
8x Grindstone Pentahydrate";"210000x LMD
5x Supporter Chip
8x Polyester
4x Oriron
4x Supporter Dualchip
4x D32 Steel
8x Grindstone Pentahydrate";"105x Skill Summary - 3
11x Incandescent Alloy Block
5x RMA70-12
4x Polymerized Gel
10x Orirock Concentration
6x D32 Steel
15x Oriron Block
9x Keton Colloid
4x Coagulating Gel
12x Bipolar Nanoflake
5x Grindstone Pentahydrate
4x White Horse Kohl
8x Aketon
3x Optimized Device";"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
8x Oriron
4x Polyketon
5x Orirock Cube
9x RMA70-12
113x Skill Summary - 3
3x Oriron Cluster
5x Grindstone
210000x LMD
5x Supporter Chip
8x Polyester
4x Supporter Dualchip
10x D32 Steel
13x Grindstone Pentahydrate
11x Incandescent Alloy Block
4x Polymerized Gel
10x Orirock Concentration
15x Oriron Block
9x Keton Colloid
4x Coagulating Gel
12x Bipolar Nanoflake
4x White Horse Kohl
8x Aketon
3x Optimized Device";"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
8x Oriron
4x Polyketon
5x Orirock Cube
4x RMA70-12
8x Skill Summary - 3
3x Oriron Cluster
5x Grindstone
210000x LMD
5x Supporter Chip
8x Polyester
4x Supporter Dualchip
4x D32 Steel
8x Grindstone Pentahydrate";"5x RMA70-12
105x Skill Summary - 3
6x D32 Steel
5x Grindstone Pentahydrate
11x Incandescent Alloy Block
4x Polymerized Gel
10x Orirock Concentration
15x Oriron Block
9x Keton Colloid
4x Coagulating Gel
12x Bipolar Nanoflake
4x White Horse Kohl
8x Aketon
3x Optimized Device";201;311
Surtr;79.25;6;2;7;0;3;3;"10x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
7x Orirock Cube
4x Polyester
4x Oriron
6x Oriron Cluster
8x Skill Summary - 3
5x Loxic Kohl
4x Aketon";"30000x LMD
5x Guard Chip
12x Orirock Cube
4x Polyketon";"180000x LMD
4x Guard Dualchip
4x Polymerization Preparation
5x Keton Colloid";"210000x LMD
5x Guard Chip
12x Orirock Cube
4x Polyketon
4x Guard Dualchip
4x Polymerization Preparation
5x Keton Colloid";"105x Skill Summary - 3
4x Manganese Trihydrate
4x Integrated Device
12x Keton Colloid
15x Polymerized Gel
12x D32 Steel
4x Optimized Device
9x RMA70-24
5x Manganese Ore
13x White Horse Kohl
6x Bipolar Nanoflake
4x Orirock Concentration
7x Grindstone
4x Grindstone Pentahydrate";"10x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
19x Orirock Cube
4x Polyester
4x Oriron
6x Oriron Cluster
113x Skill Summary - 3
5x Loxic Kohl
4x Aketon
210000x LMD
5x Guard Chip
4x Polyketon
4x Guard Dualchip
4x Polymerization Preparation
17x Keton Colloid
4x Manganese Trihydrate
4x Integrated Device
15x Polymerized Gel
12x D32 Steel
4x Optimized Device
9x RMA70-24
5x Manganese Ore
13x White Horse Kohl
6x Bipolar Nanoflake
4x Orirock Concentration
7x Grindstone
4x Grindstone Pentahydrate";"10x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
19x Orirock Cube
4x Polyester
4x Oriron
6x Oriron Cluster
78x Skill Summary - 3
5x Loxic Kohl
4x Aketon
210000x LMD
5x Guard Chip
4x Polyketon
4x Guard Dualchip
4x Polymerization Preparation
13x Keton Colloid
9x RMA70-24
5x Manganese Ore
13x White Horse Kohl
6x Bipolar Nanoflake
4x Orirock Concentration
7x Grindstone
4x Grindstone Pentahydrate
6x D32 Steel
6x Polymerized Gel";"35x Skill Summary - 3
4x Keton Colloid
4x Manganese Trihydrate
4x Integrated Device
9x Polymerized Gel
6x D32 Steel
4x Optimized Device";66;318
Skadi the Corrupting Heart;29.26;6;1;7;0;0;0;"10x Skill Summary - 1
5x Oriron Shard
4x Sugar Substitute
24x Skill Summary - 2
4x Polyketon
3x Device
3x Polyester
5x Coagulating Gel
8x Skill Summary - 3
4x Incandescent Alloy
5x Manganese Ore";"30000x LMD
5x Supporter Chip
8x Polyester
3x Device";"180000x LMD
4x Supporter Dualchip
4x Polymerization Preparation
5x Grindstone Pentahydrate";"210000x LMD
5x Supporter Chip
8x Polyester
3x Device
4x Supporter Dualchip
4x Polymerization Preparation
5x Grindstone Pentahydrate";"105x Skill Summary - 3
12x RMA70-24
5x Manganese Ore
4x Oriron Block
17x Incandescent Alloy Block
12x Polymerization Preparation
16x Polymerized Gel
4x Grindstone Pentahydrate
7x Loxic Kohl
6x Bipolar Nanoflake
4x Crystalline Circuit
4x Orirock Concentration
7x Grindstone
4x Keton Colloid";"10x Skill Summary - 1
5x Oriron Shard
4x Sugar Substitute
24x Skill Summary - 2
4x Polyketon
6x Device
11x Polyester
5x Coagulating Gel
113x Skill Summary - 3
4x Incandescent Alloy
10x Manganese Ore
210000x LMD
5x Supporter Chip
4x Supporter Dualchip
16x Polymerization Preparation
9x Grindstone Pentahydrate
12x RMA70-24
4x Oriron Block
17x Incandescent Alloy Block
16x Polymerized Gel
7x Loxic Kohl
6x Bipolar Nanoflake
4x Crystalline Circuit
4x Orirock Concentration
7x Grindstone
4x Keton Colloid";"10x Skill Summary - 1
5x Oriron Shard
4x Sugar Substitute
24x Skill Summary - 2
4x Polyketon
6x Device
11x Polyester
5x Coagulating Gel
8x Skill Summary - 3
4x Incandescent Alloy
5x Manganese Ore
30000x LMD
5x Supporter Chip";"105x Skill Summary - 3
5x Manganese Ore
180000x LMD
4x Supporter Dualchip
16x Polymerization Preparation
9x Grindstone Pentahydrate
12x RMA70-24
4x Oriron Block
17x Incandescent Alloy Block
16x Polymerized Gel
7x Loxic Kohl
6x Bipolar Nanoflake
4x Crystalline Circuit
4x Orirock Concentration
7x Grindstone
4x Keton Colloid";220;311
Skadi;35.26;6;2;7;0;0;0;"9x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
7x Orirock Cube
4x Sugar
4x Polyketon
6x Aketon
8x Skill Summary - 3
3x Integrated Device
5x Sugar Pack";"30000x LMD
5x Guard Chip
5x Device
5x Polyester";"180000x LMD
4x Guard Dualchip
4x D32 Steel
9x Orirock Concentration";"210000x LMD
5x Guard Chip
5x Device
5x Polyester
4x Guard Dualchip
4x D32 Steel
9x Orirock Concentration";"99x Skill Summary - 3
4x White Horse Kohl
8x Aketon
12x RMA70-24
11x Manganese Trihydrate
6x D32 Steel
17x Orirock Concentration
4x Integrated Device
13x Grindstone Pentahydrate
12x Bipolar Nanoflake
7x Loxic Kohl
4x Sugar Lump
5x Polyester Lump";"9x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
7x Orirock Cube
4x Sugar
4x Polyketon
14x Aketon
107x Skill Summary - 3
7x Integrated Device
5x Sugar Pack
210000x LMD
5x Guard Chip
5x Device
5x Polyester
4x Guard Dualchip
10x D32 Steel
26x Orirock Concentration
4x White Horse Kohl
12x RMA70-24
11x Manganese Trihydrate
13x Grindstone Pentahydrate
12x Bipolar Nanoflake
7x Loxic Kohl
4x Sugar Lump
5x Polyester Lump";"9x Skill Summary - 1
4x Damaged Device
4x Ester
24x Skill Summary - 2
7x Orirock Cube
4x Sugar
4x Polyketon
6x Aketon
8x Skill Summary - 3
3x Integrated Device
5x Sugar Pack
210000x LMD
5x Guard Chip
5x Device
5x Polyester
4x Guard Dualchip
4x D32 Steel
9x Orirock Concentration";"8x Aketon
99x Skill Summary - 3
4x Integrated Device
6x D32 Steel
17x Orirock Concentration
4x White Horse Kohl
12x RMA70-24
11x Manganese Trihydrate
13x Grindstone Pentahydrate
12x Bipolar Nanoflake
7x Loxic Kohl
4x Sugar Lump
5x Polyester Lump";202;312
SilverAsh;57.38;6;2;7;0;0;3;"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
4x Oriron
4x Polyketon
5x Orirock Cube
7x Sugar Pack
8x Skill Summary - 3
4x Polyester Pack
5x Manganese Ore";"30000x LMD
5x Guard Chip
8x Polyester
3x Device";"180000x LMD
4x Guard Dualchip
4x D32 Steel
6x White Horse Kohl";"210000x LMD
5x Guard Chip
8x Polyester
3x Device
4x Guard Dualchip
4x D32 Steel
6x White Horse Kohl";"99x Skill Summary - 3
4x Oriron Block
4x Sugar Pack
20x White Horse Kohl
12x Keton Colloid
12x D32 Steel
6x Polyester Pack
4x Manganese Trihydrate
8x Optimized Device
11x Sugar Lump
4x Oriron Cluster
4x Grindstone Pentahydrate
6x Bipolar Nanoflake";"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
4x Oriron
4x Polyketon
5x Orirock Cube
11x Sugar Pack
107x Skill Summary - 3
10x Polyester Pack
5x Manganese Ore
210000x LMD
5x Guard Chip
8x Polyester
3x Device
4x Guard Dualchip
16x D32 Steel
26x White Horse Kohl
4x Oriron Block
12x Keton Colloid
4x Manganese Trihydrate
8x Optimized Device
11x Sugar Lump
4x Oriron Cluster
4x Grindstone Pentahydrate
6x Bipolar Nanoflake";"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
4x Oriron
4x Polyketon
5x Orirock Cube
7x Sugar Pack
41x Skill Summary - 3
4x Polyester Pack
5x Manganese Ore
210000x LMD
5x Guard Chip
8x Polyester
3x Device
4x Guard Dualchip
4x D32 Steel
15x White Horse Kohl
3x Optimized Device
4x Oriron Cluster
4x Grindstone Pentahydrate
6x Bipolar Nanoflake
5x Sugar Lump";"4x Sugar Pack
66x Skill Summary - 3
6x Polyester Pack
12x D32 Steel
11x White Horse Kohl
4x Oriron Block
12x Keton Colloid
4x Manganese Trihydrate
5x Optimized Device
6x Sugar Lump";130;305
Siege;30.62;6;1;7;0;0;0;"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
4x Oriron
3x Sugar
6x Aketon
8x Skill Summary - 3
3x Integrated Device
5x Sugar Pack";"30000x LMD
5x Vanguard Chip
9x Sugar
3x Device";"180000x LMD
4x Vanguard Dualchip
4x Bipolar Nanoflake
6x Orirock Concentration";"210000x LMD
5x Vanguard Chip
9x Sugar
3x Device
4x Vanguard Dualchip
4x Bipolar Nanoflake
6x Orirock Concentration";"99x Skill Summary - 3
4x White Horse Kohl
8x Aketon
12x RMA70-24
11x Manganese Trihydrate
12x Bipolar Nanoflake
10x Orirock Concentration
4x Integrated Device
13x Grindstone Pentahydrate
5x Polyester Lump
7x Loxic Kohl
4x Sugar Lump
6x Polymerization Preparation
4x Optimized Device";"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
4x Oriron
12x Sugar
14x Aketon
107x Skill Summary - 3
7x Integrated Device
5x Sugar Pack
210000x LMD
5x Vanguard Chip
3x Device
4x Vanguard Dualchip
16x Bipolar Nanoflake
16x Orirock Concentration
4x White Horse Kohl
12x RMA70-24
11x Manganese Trihydrate
13x Grindstone Pentahydrate
5x Polyester Lump
7x Loxic Kohl
4x Sugar Lump
6x Polymerization Preparation
4x Optimized Device";"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
4x Oriron
12x Sugar
6x Aketon
8x Skill Summary - 3
3x Integrated Device
5x Sugar Pack
30000x LMD
5x Vanguard Chip
3x Device";"8x Aketon
99x Skill Summary - 3
4x Integrated Device
180000x LMD
4x Vanguard Dualchip
16x Bipolar Nanoflake
16x Orirock Concentration
4x White Horse Kohl
12x RMA70-24
11x Manganese Trihydrate
13x Grindstone Pentahydrate
5x Polyester Lump
7x Loxic Kohl
4x Sugar Lump
6x Polymerization Preparation
4x Optimized Device";213;307
Shining;40.79;6;2;7;0;1;0;"10x Skill Summary - 1
6x Orirock
4x Damaged Device
24x Skill Summary - 2
6x Device
5x Orirock Cube
6x Manganese Ore
8x Skill Summary - 3
4x Grindstone
5x Orirock Cluster";"30000x LMD
5x Medic Chip
6x Polyketon
5x Polyester";"180000x LMD
4x Medic Dualchip
4x Bipolar Nanoflake
5x Oriron Block";"210000x LMD
5x Medic Chip
6x Polyketon
5x Polyester
4x Medic Dualchip
4x Bipolar Nanoflake
5x Oriron Block";"99x Skill Summary - 3
4x RMA70-24
5x Manganese Ore
11x Polyester Lump
14x Orirock Concentration
12x Bipolar Nanoflake
8x Oriron Block
7x Grindstone
11x Sugar Lump
11x Grindstone Pentahydrate
5x RMA70-12
4x Keton Colloid
6x Polymerization Preparation";"10x Skill Summary - 1
6x Orirock
4x Damaged Device
24x Skill Summary - 2
6x Device
5x Orirock Cube
11x Manganese Ore
107x Skill Summary - 3
11x Grindstone
5x Orirock Cluster
210000x LMD
5x Medic Chip
6x Polyketon
5x Polyester
4x Medic Dualchip
16x Bipolar Nanoflake
13x Oriron Block
4x RMA70-24
11x Polyester Lump
14x Orirock Concentration
11x Sugar Lump
11x Grindstone Pentahydrate
5x RMA70-12
4x Keton Colloid
6x Polymerization Preparation";"10x Skill Summary - 1
6x Orirock
4x Damaged Device
24x Skill Summary - 2
6x Device
5x Orirock Cube
6x Manganese Ore
14x Skill Summary - 3
11x Grindstone
5x Orirock Cluster
210000x LMD
5x Medic Chip
6x Polyketon
5x Polyester
4x Medic Dualchip
4x Bipolar Nanoflake
5x Oriron Block
4x Orirock Concentration";"5x Manganese Ore
93x Skill Summary - 3
12x Bipolar Nanoflake
8x Oriron Block
4x RMA70-24
11x Polyester Lump
10x Orirock Concentration
11x Sugar Lump
11x Grindstone Pentahydrate
5x RMA70-12
4x Keton Colloid
6x Polymerization Preparation";180;304
